age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0.8955087793854799,5,-1.0360891643748134,9,1.134865372739013,2,3,0,4,1,-0.14595940253779563,-0.21671876490073566,-2.2216537678699377,38,0
0.12902593845609459,3,0.4718634717181862,11,-0.42071839419202534,0,5,1,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
1.0588215817455502,3,0.6062544754827844,1,-1.1985102776575445,2,5,0,2,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
-0.7174636232262239,3,1.1863437578704303,9,1.134865372739013,2,9,5,2,0,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,4,0
0.838928788084692,3,0.0004832033907577907,6,-1.9763021611230638,3,7,1,2,0,-0.14595940253779563,-0.21671876490073566,-1.9787342917490454,22,0
1.0054144904842413,5,0.42709228406342514,11,-0.42071839419202534,2,3,0,4,1,-0.14595940253779563,-0.21671876490073566,0.36948731075291535,38,1
-0.436201022051215,3,-1.9853699016238144,12,1.5237613144717725,4,9,1,4,0,1.7606161639091458,-0.21671876490073566,0.7743531042877362,38,1
0.4079982018796637,3,-0.006838514263699119,9,1.134865372739013,2,3,0,4,1,0.554995459934674,-0.21671876490073566,-0.03537848278190546,38,1
0.05480887762125529,3,0.88855986464473,15,-0.031822452459265745,2,3,0,2,1,-0.14595940253779563,-0.21671876490073566,3.203547865496661,38,1
-0.5269132819742625,6,-0.1984688130820254,9,1.134865372739013,2,9,0,1,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,18,1
-0.348280356089299,3,0.391736469205728,7,0.7459694310062535,4,11,1,2,1,-0.14595940253779563,-0.21671876490073566,0.7743531042877362,38,0
0.27191552167866906,3,-0.4342622253385898,8,0.35707348927349386,2,2,0,1,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,1
-0.18016150349271293,3,0.6773611229125002,5,-2.3651981028558233,2,13,0,0,1,-0.14595940253779563,-0.21671876490073566,0.36948731075291535,25,0
-1.0294674243896877,5,0.15654692295966552,11,-0.42071839419202534,4,4,3,4,1,-0.14595940253779563,-0.21671876490073566,-0.44024427631672625,38,0
0.12902593845609459,3,-2.7154669800538285,1,-1.1985102776575445,2,11,0,4,1,-0.14595940253779563,-0.21671876490073566,0.7743531042877362,38,0
0.4736837658055014,5,0.9534212688950334,12,1.5237613144717725,0,3,4,4,0,-0.14595940253779563,-0.21671876490073566,0.36948731075291535,38,1
0.27191552167866906,3,0.30024800652279376,10,2.3015531979372916,2,9,0,4,1,-0.14595940253779563,-0.21671876490073566,1.5840846913573778,38,1
1.1112486708734561,3,1.0066285637155585,11,-0.42071839419202534,5,7,4,2,0,-0.14595940253779563,-0.21671876490073566,-1.6548416569211888,38,0
-0.09967178110023323,0,-1.1641857157902624,6,-1.9763021611230638,2,4,0,2,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
0.4736837658055014,3,-0.4971457425776681,1,-1.1985102776575445,2,13,0,4,1,-0.14595940253779563,4.849595858600205,-0.03537848278190546,38,0
1.3598572458625207,3,-0.6097272648213968,11,-0.42071839419202534,0,12,4,4,0,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
1.2133022404670388,1,0.4806986905641551,9,1.134865372739013,2,12,0,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,1
-1.7790936017238455,3,0.0787630063266138,11,-0.42071839419202534,4,2,3,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
1.1112486708734561,3,0.18724034839946846,15,-0.031822452459265745,2,9,0,1,1,-0.14595940253779563,-0.21671876490073566,1.5840846913573778,34,1
0.2013638830167385,3,1.3160661667757916,11,-0.42071839419202534,0,3,1,4,1,-0.14595940253779563,-0.21671876490073566,3.203547865496661,38,0
0.838928788084692,3,0.29895297121317677,11,-0.42071839419202534,2,2,0,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
-1.2581651439460155,1,0.27701510264896995,7,0.7459694310062535,4,10,1,4,1,-0.14595940253779563,-0.21671876490073566,0.9362994217016645,38,0
-1.639690530455467,3,0.8046953563737156,15,-0.031822452459265745,4,11,3,2,1,-0.14595940253779563,-0.21671876490073566,0.2885141520459512,38,0
0.600691172547317,3,1.39883184156671,9,1.134865372739013,0,3,3,4,1,-0.14595940253779563,3.2766068912644575,-0.03537848278190546,38,0
-1.379766312193267,6,1.055031790157906,15,-0.031822452459265745,2,7,0,2,1,-0.14595940253779563,-0.21671876490073566,-2.0597074504560093,38,0
0.7812056896704662,3,0.6573355314397956,1,-1.1985102776575445,4,6,4,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,32,0
-1.5067737189350814,3,0.33008329584734003,15,-0.031822452459265745,4,6,3,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
-1.7790936017238455,3,1.939265776983513,11,-0.42071839419202534,1,0,5,4,0,-0.14595940253779563,-0.21671876490073566,-1.2499758633863678,38,0
-0.436201022051215,3,-1.0201261005235518,15,-0.031822452459265745,2,11,0,4,1,-0.14595940253779563,-0.21671876490073566,-0.1973248001958338,38,1
-0.436201022051215,3,1.830050380728602,6,-1.9763021611230638,2,6,0,4,1,-0.14595940253779563,-0.21671876490073566,0.207540993338987,38,0
1.0588215817455502,5,-0.9401798015423449,9,1.134865372739013,2,9,0,4,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
-1.141528696655892,3,0.12237214639142384,9,1.134865372739013,2,12,0,4,1,-0.14595940253779563,-0.21671876490073566,0.7743531042877362,38,0
0.838928788084692,3,-0.8339659106943638,11,-0.42071839419202534,5,0,4,4,0,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,0
1.2629938615143588,0,1.1839336625994692,9,1.134865372739013,2,9,0,2,1,-0.14595940253779563,-0.21671876490073566,-0.03537848278190546,38,1
